Model,mean_fit_time,mean_score_time,param_MNB__alpha,param_MNB__fit_prior,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
1,0.2459486961364746,0.05396327972412109,0.5,True,10,<function chi2 at 0x7f91faae3c10>,word,True,0.2,17
1,0.2459023952484131,0.052044105529785153,0.5,True,10,<function chi2 at 0x7f91faae3c10>,word,False,0.2,18
1,0.21555643081665038,0.041353893280029294,0.5,True,500,<function chi2 at 0x7f91faae3c10>,word,True,0.59,7
1,0.22075443267822265,0.0430851936340332,0.5,True,500,<function chi2 at 0x7f91faae3c10>,word,False,0.57,9
1,0.1572443962097168,0.03488779067993164,0.5,False,10,<function chi2 at 0x7f91faae3c10>,word,True,0.17,31
1,0.16270809173583983,0.04080047607421875,0.5,False,10,<function chi2 at 0x7f91faae3c10>,word,False,0.17,31
1,0.17682628631591796,0.03365039825439453,0.5,False,500,<function chi2 at 0x7f91faae3c10>,word,True,0.65,1
1,0.14526152610778809,0.032551908493041994,0.5,False,500,<function chi2 at 0x7f91faae3c10>,word,False,0.63,2
1,0.18041439056396485,0.03896350860595703,0.8333333333333333,True,10,<function chi2 at 0x7f91faae3c10>,word,True,0.2,19
1,0.15376200675964355,0.03607921600341797,0.8333333333333333,True,10,<function chi2 at 0x7f91faae3c10>,word,False,0.2,19
1,0.18360862731933594,0.044002103805541995,0.8333333333333333,True,500,<function chi2 at 0x7f91faae3c10>,word,True,0.54,11
1,0.18402581214904784,0.04433155059814453,0.8333333333333333,True,500,<function chi2 at 0x7f91faae3c10>,word,False,0.54,12
1,0.1923522472381592,0.040743684768676756,0.8333333333333333,False,10,<function chi2 at 0x7f91faae3c10>,word,True,0.17,25
1,0.2078871726989746,0.040650463104248045,0.8333333333333333,False,10,<function chi2 at 0x7f91faae3c10>,word,False,0.17,25
1,0.21160988807678222,0.04058451652526855,0.8333333333333333,False,500,<function chi2 at 0x7f91faae3c10>,word,True,0.63,3
1,0.15098910331726073,0.03758544921875,0.8333333333333333,False,500,<function chi2 at 0x7f91faae3c10>,word,False,0.62,4
1,0.14727940559387206,0.03615241050720215,1.1666666666666665,True,10,<function chi2 at 0x7f91faae3c10>,word,True,0.19,21
1,0.1658184051513672,0.03861145973205567,1.1666666666666665,True,10,<function chi2 at 0x7f91faae3c10>,word,False,0.19,21
1,0.17151412963867188,0.038363170623779294,1.1666666666666665,True,500,<function chi2 at 0x7f91faae3c10>,word,True,0.5,13
1,0.16129403114318847,0.034683847427368165,1.1666666666666665,True,500,<function chi2 at 0x7f91faae3c10>,word,False,0.5,14
1,0.16119647026062012,0.03963322639465332,1.1666666666666665,False,10,<function chi2 at 0x7f91faae3c10>,word,True,0.17,25
1,0.1676638126373291,0.041865301132202146,1.1666666666666665,False,10,<function chi2 at 0x7f91faae3c10>,word,False,0.17,25
1,0.16575355529785157,0.04164342880249024,1.1666666666666665,False,500,<function chi2 at 0x7f91faae3c10>,word,True,0.6,5
1,0.17640957832336426,0.03546013832092285,1.1666666666666665,False,500,<function chi2 at 0x7f91faae3c10>,word,False,0.59,6
1,0.1674109935760498,0.03525075912475586,1.5,True,10,<function chi2 at 0x7f91faae3c10>,word,True,0.19,21
1,0.1576591968536377,0.0339235782623291,1.5,True,10,<function chi2 at 0x7f91faae3c10>,word,False,0.19,21
1,0.1560049057006836,0.03297810554504395,1.5,True,500,<function chi2 at 0x7f91faae3c10>,word,True,0.47,15
1,0.1642320156097412,0.036578369140625,1.5,True,500,<function chi2 at 0x7f91faae3c10>,word,False,0.47,16
1,0.17642064094543458,0.03948421478271484,1.5,False,10,<function chi2 at 0x7f91faae3c10>,word,True,0.17,25
1,0.16913094520568847,0.038860321044921875,1.5,False,10,<function chi2 at 0x7f91faae3c10>,word,False,0.17,25
1,0.21006422042846679,0.037585115432739256,1.5,False,500,<function chi2 at 0x7f91faae3c10>,word,True,0.58,8
1,0.16154956817626953,0.03324360847473144,1.5,False,500,<function chi2 at 0x7f91faae3c10>,word,False,0.57,10
