Model,mean_fit_time,mean_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,mean_test_score,rank_test_score
7,194.55102229118347,21.149555110931395,10,auto,10,10,0.31,34
7,222.98547501564025,20.364345693588255,10,auto,10,100,0.35,15
7,234.66183247566224,21.257630014419554,10,auto,10,200,0.36,7
7,214.6209666252136,20.620947647094727,10,auto,40,10,0.31,25
7,225.37381973266602,20.376075649261473,10,auto,40,100,0.35,16
7,236.44496016502382,20.9399534702301,10,auto,40,200,0.35,11
7,215.93578472137452,20.734200859069823,10,auto,80,10,0.31,32
7,222.4307083129883,20.3253053188324,10,auto,80,100,0.34,24
7,237.03853759765624,21.031705570220947,10,auto,80,200,0.34,21
7,214.72355222702026,21.182267475128175,10,10,10,10,0.31,33
7,226.14931726455688,20.950169849395753,10,10,10,100,0.35,9
7,240.2814468383789,20.566814947128297,10,10,10,200,0.35,8
7,213.49378714561462,21.68262424468994,10,10,40,10,0.31,28
7,227.84879450798036,20.787603759765624,10,10,40,100,0.35,19
7,235.97168974876405,21.337027311325073,10,10,40,200,0.35,12
7,216.93134698867797,21.127764463424683,10,10,80,10,0.31,27
7,224.33691601753236,21.12247519493103,10,10,80,100,0.34,22
7,234.73399562835692,21.66977014541626,10,10,80,200,0.34,23
7,219.74317908287048,21.084567737579345,,auto,10,10,0.3,35
7,228.7870520591736,21.29263482093811,,auto,10,100,0.36,2
7,246.0441153049469,20.849572515487672,,auto,10,200,0.37,1
7,214.58511590957642,21.42326979637146,,auto,40,10,0.31,29
7,228.90694942474366,21.080443811416625,,auto,40,100,0.35,13
7,244.2234498500824,21.129859828948973,,auto,40,200,0.35,10
7,213.51311259269715,21.294341230392455,,auto,80,10,0.31,31
7,227.86841974258422,21.006824588775636,,auto,80,100,0.35,14
7,235.59701776504517,21.23484835624695,,auto,80,200,0.35,18
7,217.65125365257262,21.58600311279297,,10,10,10,0.29,36
7,230.2741729259491,21.26335997581482,,10,10,100,0.36,3
7,242.2521484375,21.062940263748168,,10,10,200,0.36,4
7,216.9101945400238,21.208899831771852,,10,40,10,0.31,30
7,226.1841411113739,20.935974407196046,,10,40,100,0.36,6
7,242.25298357009888,21.10883231163025,,10,40,200,0.36,5
7,213.3727554798126,21.28269233703613,,10,80,10,0.31,26
7,211.88038458824158,16.607996273040772,,10,80,100,0.35,20
7,204.08522572517396,11.160310220718383,,10,80,200,0.35,17
